City,PM2.5,PM10,NO2,CO,O3,AQI,Year
Ahmedabad,83.13,190.994,28.71,6.93,59.76,209,2015
Ahmedabad,79.84,125.92,28.68,13.85,97.07,328,2015
Ahmedabad,80.65,59.656,22.83,2.37,47.3,294,2015
Ahmedabad,58.36,119.45,21.39,2.6,53.54,149,2015
Ahmedabad,79.29,107.002,26.94,1.16,59.3,190,2015
Ahmedabad,88.7,166.576,31.32,7.29,44.76,247,2015
Ahmedabad,74.28,119.964,27.3,8.92,47.42,379,2015
Ahmedabad,113.93,91.752,24.27,4.32,39.94,341,2015
Ahmedabad,105.39,107.71,18.21,1.41,56.15,256,2015
Ahmedabad,66.52,114.426,23.8,6.34,53.14,388,2015
Ahmedabad,65.04,118.81,30.1,14.19,31.88,288,2015
Ahmedabad,113.25,191.722,30.5,15.55,33.78,475,2015
Ahmedabad,80.61,142.314,21.04,15.96,36.2,479,2015
Ahmedabad,107.99,182.286,30.09,11.25,31.94,427,2015
Ahmedabad,118.72,202.682,32.01,12.56,38.8,411,2015
Ahmedabad,52.99,72.328,10.45,2.23,67.25,292,2015
Ahmedabad,60.78,113.92,18.21,9.07,34.75,189,2015
Ahmedabad,91.83,201.802,28.71,12.99,38.46,408,2015
Ahmedabad,93.88,180.048,29.38,18.21,46.79,383,2015
Ahmedabad,71.56,80.612,16.83,3.51,57.16,190,2015
Ahmedabad,119.8,84.532,24.07,4.13,50.49,233,2015
Ahmedabad,106.71,84.406,25.59,5.39,60.17,297,2015
Ahmedabad,118.49,129.706,28.94,4.11,53.61,330,2015
Ahmedabad,106.01,109.074,27.31,4.28,40.91,252,2015
Ahmedabad,97.34,111.002,21.58,3.67,45.69,244,2015
Ahmedabad,83.92,126.112,25.03,6.42,34.94,234,2015
Ahmedabad,49.51,93.956,14.16,3.1,37.95,219,2015
Ahmedabad,30.76,98.032,14.14,2.72,54.78,118,2015
Ahmedabad,50.29,138.454,29.84,5.34,45.44,231,2015
Ahmedabad,57.69,118.68,29.48,25.36,52.87,286,2015
Ahmedabad,147.38,248.612,35.82,6.4,17.94,437,2015
Ahmedabad,158.25,140.316,27.89,5.86,38.54,321,2015
Ahmedabad,237.76,62.246,21.8,4.99,39.77,372,2015
Ahmedabad,133.37,112.482,17.99,3.88,39.66,339,2015
Ahmedabad,133.3,57.694,20,6.52,59.03,339,2015
Ahmedabad,96.04,135.25,20.07,3.8,46.61,324,2015
Ahmedabad,77.69,138.836,18.87,5.24,27.14,222,2015
Ahmedabad,53.07,98.206,13.82,4.17,21.76,169,2015
Ahmedabad,63.11,146.628,15.5,5.63,4.72,220,2015
Ahmedabad,120.96,73.336,20.86,4.23,35.66,303,2015
Ahmedabad,138.63,299.988,25.47,5.65,29.77,314,2015
Ahmedabad,144.36,192.876,30.69,15.82,27.34,378,2015
Ahmedabad,85.03,134.46,26.7,3.3,35.89,415,2015
Ahmedabad,61.06,116.306,14.03,3.52,19.54,126,2015
Ahmedabad,39.42,61.566,19.56,5.28,31.3,175,2015
Ahmedabad,111.86,94.72,22.51,3.89,31.23,226,2015
Ahmedabad,58.37,89.376,21.71,5.74,43.92,244,2015
Ahmedabad,95.37,185.35,26.23,18.01,41.64,315,2015
Ahmedabad,109.48,92.864,20.27,4.3,31.34,285,2015
Ahmedabad,126.04,230.602,20.18,6.99,28.71,321,2015
Ahmedabad,71.22,103.67,21.32,16.73,28.39,358,2015
Ahmedabad,97.87,169.264,17.96,6.3,34.16,357,2015
Ahmedabad,63.38,116.15,13.28,3.44,43.62,189,2015
Ahmedabad,80.9,148.15,18.62,5.7,22.8,214,2015
Ahmedabad,103.29,173.514,19.82,4.55,22.18,253,2015
Ahmedabad,107.5,245.378,15.56,5.29,10.12,239,2015
Ahmedabad,138.42,37.83,16.7,5.05,27.18,300,2015
Ahmedabad,129.04,213.404,14.86,5.69,18.67,317,2015
Ahmedabad,96.65,302.566,15.9,4.67,11.83,240,2015
Ahmedabad,126.77,179.45,23.93,15.69,36.71,344,2015
Ahmedabad,86.31,54.358,10.5,2.69,90.54,308,2015
Ahmedabad,83.99,142.826,0.08,2.73,69.57,227,2015
Ahmedabad,65.11,87.422,4.58,3.14,32.26,120,2015
Ahmedabad,51.03,120.212,20.47,6.24,31.44,158,2015
Ahmedabad,38.73,71.44,19.28,8,25.7,177,2015
Ahmedabad,61.12,102.172,17.82,9.94,25.9,201,2015
Ahmedabad,58.44,58.798,17.24,10.68,18.89,211,2015
Ahmedabad,61.49,80.276,16.69,11.44,18.2,221,2015
Ahmedabad,65.39,108.11,16.08,12.3,22.35,233,2015
Ahmedabad,100.92,126.572,18.9,20.42,22.84,481,2015
Ahmedabad,97.48,181.196,30.02,5.31,16.26,352,2015
Ahmedabad,129.27,146.406,28.33,14.28,25.4,327,2015
Ahmedabad,100.57,179.824,18.79,7.56,38.83,411,2015
Ahmedabad,130.34,165.184,17.43,7.14,29.05,212,2015
Ahmedabad,53.24,92.034,15.86,8.05,21.58,280,2015
Ahmedabad,42,77.362,18.16,10.44,25.5,162,2015
Ahmedabad,38.88,70.112,16.28,2.18,12.47,128,2015
Ahmedabad,46.89,66.566,16.17,2.96,10.74,129,2015
Ahmedabad,70.96,129.874,15.47,4.12,16.01,152,2015
Ahmedabad,53.66,116.02,14.43,4.23,45.64,176,2015
Ahmedabad,45.49,130.816,13.73,4.26,71.85,167,2015
Ahmedabad,60.86,114.07,16.61,5.27,41.19,106,2015
Ahmedabad,51.93,157.322,17.87,13.71,12.88,231,2015
Ahmedabad,77.87,155.61,17.12,6.67,16.67,327,2015
Ahmedabad,57.59,112.49,15.47,5.6,25.51,174,2015
Ahmedabad,77.22,183.23,15.47,7.02,9.56,185,2015
Ahmedabad,45.29,150.53,12.74,7.25,6.32,179,2015
Ahmedabad,103.78,159.11,13.9,6.36,15.27,211,2015
Ahmedabad,25.14,80.864,18.73,6.01,38.52,192,2015
Ahmedabad,87.03,109.826,17.88,8.05,48.22,310,2015
Ahmedabad,89.6,151.918,19.84,6.59,44.78,223,2015
Ahmedabad,80.69,144.09,16.07,6.86,32.65,192,2015
Ahmedabad,44.75,120.988,16.53,7.76,8.07,191,2015
Ahmedabad,38.11,84.19,11.62,7.41,6.69,184,2015
Ahmedabad,45.5,116.848,15.59,8.56,3.82,220,2015
Ahmedabad,36.98,86.1,11.52,8.21,5.17,215,2015
Ahmedabad,43.58,114.066,13.33,8.26,7.56,226,2015
Ahmedabad,45.49,101.696,14.91,9.63,2.94,251,2015
Ahmedabad,38.06,156.54,18.57,8.67,4.63,216,2015
Ahmedabad,45.41,163.964,20.55,9.35,4.5,237,2015
Ahmedabad,37.71,156.214,16.26,8.54,4.6,198,2015
Ahmedabad,32.37,142.884,14.36,7.53,12.17,195,2015
Ahmedabad,34.74,147.356,13.51,7.59,12.22,187,2015
Ahmedabad,32.56,142.884,13.91,7.34,11.85,181,2015
Ahmedabad,29.28,131.256,11.68,7.55,12.64,179,2015
Ahmedabad,20.46,296.876,10.61,7.15,12.7,188,2015
Ahmedabad,26.07,179.836,11.07,7.99,10.57,190,2015
Ahmedabad,21.43,371.956,11.16,7.45,7.38,185,2015
Ahmedabad,11.91,127.144,10.1,7.34,5.47,189,2015
Ahmedabad,57.75,199.254,9.68,8.68,3.06,196,2015
Ahmedabad,66.39,177.856,12.79,8.58,4.96,201,2015
Ahmedabad,62.61,371.956,9.83,9.15,6.44,231,2015
Ahmedabad,47.5,280.118,9.53,8.07,7.28,196,2015
Ahmedabad,111.8,371.956,11.51,9.23,5.99,220,2015
Ahmedabad,30,103.24,13.59,8.87,6.31,244,2015
Ahmedabad,4.66,371.956,10.9,9.01,6.38,223,2015
Ahmedabad,48.72,265.13,11.94,9.56,6.61,230,2015
Ahmedabad,49.7,280.118,9.81,9.43,6.42,243,2015
Ahmedabad,48.1,285.99,9.53,8.03,7.6,215,2015
Ahmedabad,47.43,280.118,9.45,8.11,7.08,199,2015
Ahmedabad,51.74,261.72,12.38,8.91,5.78,200,2015
Ahmedabad,42.68,59.67,11.08,9.74,4.44,226,2015
Ahmedabad,38.45,153.75,7.8,10.55,3.24,241,2015
Ahmedabad,46.69,254.12,0.17,11.48,5.76,222,2015
Ahmedabad,55.27,251.876,0.12,11.55,6.55,223,2015
Ahmedabad,149.03,290.21,0.16,11.49,7.27,248,2015
Ahmedabad,86.57,292.538,0.17,11.47,6.53,300,2015
Ahmedabad,111.77,413.696,0.24,11.3,4.67,232,2015
Ahmedabad,151.4,290.21,0.36,10.8,5.46,330,2015
Ahmedabad,51.35,262.552,2.69,8,5.76,223,2015
Ahmedabad,65.37,155.244,8.07,0.64,8.02,105,2015
Ahmedabad,56.28,65.438,8.02,0.6,6.2,101,2015
Ahmedabad,48.17,155.244,8,0.65,7.97,93,2015
Ahmedabad,33.56,152.074,7.89,0.72,10.18,67,2015
Ahmedabad,31.3,54.448,8.1,0.55,7.44,60,2015
Ahmedabad,57.11,51.412,8.28,0.55,2.6,90,2015
Ahmedabad,34.72,77.958,9.73,0.1,4.87,78,2015
Ahmedabad,29.22,55.174,9.57,0.06,5.08,48,2015
Ahmedabad,29.79,49.15,8.64,0.14,5.34,53,2015
Ahmedabad,59.95,58.7,8.78,0.18,2.79,91,2015
Ahmedabad,19.2,33.332,9.45,1.52,4.61,70,2015
Ahmedabad,19.52,47.312,11.26,5.89,4.4,157,2015
Ahmedabad,35.16,73.082,10.89,5.75,3.67,158,2015
Ahmedabad,33.03,68.466,10.58,7.01,3.53,169,2015
Ahmedabad,40.95,63.532,10.47,6.92,3.38,174,2015
Ahmedabad,40.29,63.532,10.52,6.74,3.57,173,2015
Ahmedabad,41.16,63.532,10.51,6.91,3.69,172,2015
Ahmedabad,36.12,91.098,11.56,7.21,6.08,190,2015
Ahmedabad,28.51,132.344,20.52,6.69,7.65,171,2015
Ahmedabad,31.59,152.082,20.42,6.99,7.9,168,2015
Ahmedabad,42.56,127.862,20.4,7.17,9.86,172,2015
Ahmedabad,48.12,92.37,20.3,7.14,12.78,173,2015
Ahmedabad,37.09,142.406,20.21,7.22,7.94,175,2015
Ahmedabad,33.4,152.082,20.09,7.4,8.39,179,2015
Ahmedabad,38.64,190.58,20.21,7.35,6.28,174,2015
Ahmedabad,40.49,80.422,20.23,7.48,21.51,176,2015
Ahmedabad,41.37,98.96,20.2,7.47,19.8,179,2015
Ahmedabad,44.56,93.668,20.06,7.49,22.77,175,2015
Ahmedabad,65.68,141.914,19.94,7.57,30.21,177,2015
Ahmedabad,33.34,109.55,20.27,7.3,32.95,175,2015
Ahmedabad,39.17,70.522,20.24,7.35,26.64,174,2015
Ahmedabad,34,63.702,20.1,7.41,17.17,179,2015
Ahmedabad,36.38,64.446,20.14,7.31,13.35,177,2015
Ahmedabad,38.35,70.144,20.16,7.41,18.59,180,2015
Ahmedabad,38.5,70.84,19.67,12.38,16.33,274,2015
Ahmedabad,39.61,98.706,14.84,17.31,5.38,310,2015
Ahmedabad,61.79,136.318,14.82,17.24,8.06,303,2015
Ahmedabad,43.22,117.596,14.82,17.17,37.87,302,2015
Ahmedabad,33.41,107.312,14.86,17.12,86.83,302,2015
Ahmedabad,36.9,118.994,14.85,17.08,54.01,302,2015
Ahmedabad,36.36,100.722,14.79,17.11,77.3,302,2015
Ahmedabad,32.64,191.936,14.84,17.01,62.31,302,2015
Ahmedabad,38.23,109.922,14.89,17.07,55.94,302,2015
Ahmedabad,39.86,97.946,14.83,16.98,96.83,301,2015
Ahmedabad,72.74,137.208,14.84,17.04,99.03,302,2015
Ahmedabad,43.2,88.436,14.86,17.05,59.99,302,2015
Ahmedabad,63.2,136.318,14.82,17.03,7.57,302,2015
Ahmedabad,64.73,124.404,14.82,17.01,12.13,302,2015
Ahmedabad,65.28,150.122,14.85,17.04,18.2,301,2015
Ahmedabad,67.86,132.668,14.87,16.97,16.53,302,2015
Ahmedabad,52.4,122.786,14.81,16.97,22.55,301,2015
Ahmedabad,33.33,72.74,14.89,16.95,33.58,302,2015
Ahmedabad,29.52,78.824,14.88,16.94,40.65,301,2015
Ahmedabad,15.53,43.704,14.85,17,34.18,301,2015
Ahmedabad,50.24,215.08,12.31,9.46,13.61,226,2015
Ahmedabad,61.77,110.056,15.43,8.68,18.69,276,2015
Ahmedabad,46.93,153.08,11.47,7.14,19.03,209,2015
Ahmedabad,43.01,169.018,9.96,6.82,20.59,179,2015
Ahmedabad,42.06,65.034,11.35,8.43,28.09,197,2015
Ahmedabad,44.94,184.192,10.94,7.14,59.38,229,2015
Ahmedabad,29.58,60.406,9.94,6.61,42.9,170,2015
Ahmedabad,32.15,78.334,9.7,6.5,39.02,164,2015
Ahmedabad,36.33,108.502,12.88,7.68,43.35,195,2015
Ahmedabad,24.46,62.584,10.99,8.45,44.55,220,2015
Ahmedabad,59.29,289.058,9.68,9.21,7.69,217,2015
Ahmedabad,65.32,388.726,9.62,10.61,4.74,254,2015
Ahmedabad,47.39,285.99,10.48,9.26,7.71,241,2015
Ahmedabad,43.88,91.014,19.75,8.69,11.53,244,2015
Ahmedabad,28.35,136.008,13.62,9.05,15.95,243,2015
Ahmedabad,3.59,365.086,14.17,11.26,20.38,244,2015
Ahmedabad,3.04,42.358,21.5,16.31,30.05,327,2015
Ahmedabad,19.14,57.986,30.6,10.33,29.36,390,2015
Ahmedabad,69.12,149.946,32.41,8.85,28.45,231,2015
Ahmedabad,76.41,123.146,34.7,17.96,31.49,396,2015
Ahmedabad,127.94,216.758,28.38,11.14,15.17,466,2015
Ahmedabad,87.18,157.974,21.51,7.83,23.17,230,2015
Ahmedabad,99.73,132.106,30.23,20.16,20.91,309,2015
Ahmedabad,92.12,160.68,32.5,18.21,29.97,397,2015
Ahmedabad,118.91,160.112,29.22,5.42,24.89,355,2015
Ahmedabad,91.41,257.912,23.45,5.19,6.25,227,2015
Ahmedabad,95.9,173.544,33.63,10.38,27.34,316,2015
Ahmedabad,90.71,144.812,25.73,18.12,26.02,370,2015
Ahmedabad,98.79,176.452,31.2,17.72,30.19,393,2015
Ahmedabad,170.52,289.27,35.22,15.49,53.98,471,2015
Ahmedabad,64.66,165.07,23.83,4.79,24.76,213,2015
Ahmedabad,78.14,132.368,28.93,10.58,35.56,297,2015
Ahmedabad,89.64,152.128,25.75,5.42,43.04,270,2015
Ahmedabad,51.72,78.432,21.15,1.89,66.58,188,2015
Ahmedabad,54.59,84.732,18.33,2.31,42.43,114,2015
Ahmedabad,46.5,43.226,12.1,1.22,61.56,143,2015
Ahmedabad,191.01,0.184,50.11,39.61,27.9,354,2015
Ahmedabad,192.35,289.322,29.04,9.39,33.21,381,2015
Ahmedabad,127.64,181.88,31.91,6.74,47.33,355,2015
Ahmedabad,27.29,65.156,28.12,9.81,39.26,272,2016
Ahmedabad,41.43,102.426,31.82,10.45,28.05,253,2016
Ahmedabad,30.16,85.786,15.99,10.41,23.76,256,2016
Ahmedabad,29.42,428.272,10.11,9.39,16.42,257,2016
Ahmedabad,20.87,436.482,7.49,9.04,14.27,213,2016
Ahmedabad,35.08,361.436,6.52,8.36,19.44,218,2016
Ahmedabad,40.23,343.332,2.79,8.68,15.16,214,2016
Ahmedabad,54.25,349.43,2.78,8.11,18.46,207,2016
Ahmedabad,49.04,148.468,1.65,7.38,15.33,169,2016
Ahmedabad,36.47,65.888,37.13,0.98,17.362,72,2016
Ahmedabad,40.9,79.378,36.77,4.09,32.648,91,2016
Ahmedabad,34.19,68.89,34.38,6.02,41.486,124,2016
Ahmedabad,32.92,85.674,36.8,4.92,15.588,145,2016
Ahmedabad,41.39,0.156,54.7,100.77,13.218,499,2016
Ahmedabad,33.48,69.33,30.88,1.94,12.628,114,2016
Ahmedabad,30.8,111.138,25.15,2.57,36.224,148,2016
Ahmedabad,30.47,68.668,38.78,1.64,37.994,99,2016
Ahmedabad,34.64,73.652,39.23,6.67,34.42,117,2016
Ahmedabad,43.71,53.002,39.95,8.85,31.25,275,2016
Ahmedabad,46.52,161.918,33.24,3.87,6.9,183,2016
Ahmedabad,36.54,120.424,20.32,18.76,11.46,336,2016
Ahmedabad,36.87,144.522,23.28,26.51,4.91,468,2016
Ahmedabad,50.65,265.13,13,10.63,6.21,494,2016
Ahmedabad,33.93,123.782,13.41,5.06,6.16,234,2016
Ahmedabad,93.34,252.886,27.88,9.72,1.4,327,2016
Ahmedabad,38.06,139.32,22.63,6.96,3.47,257,2016
Ahmedabad,20.19,82.226,18.13,10.41,4.9,300,2016
Ahmedabad,10.45,99.626,17.81,12.59,5.87,309,2016
Ahmedabad,29.87,112.04,14.69,13.53,9.6,316,2016
Ahmedabad,60.18,147.702,13.25,8.64,13.19,296,2016
Ahmedabad,85.1,184.876,12.91,8.14,12.45,240,2016
Ahmedabad,55.55,124.966,13.45,8.38,11.84,220,2016
Ahmedabad,170.22,160.464,17.88,15.47,10.05,460,2016
Ahmedabad,35.05,129.13,16.07,7.66,9.81,341,2016
Ahmedabad,37.68,283.87,9.49,6.39,13.7,216,2016
Ahmedabad,32.78,128.054,12.1,6.08,13.13,174,2016
Ahmedabad,53.5,103.486,14.19,12,5.48,252,2016
Ahmedabad,48.24,107.16,15.52,10.91,5.98,283,2016
Ahmedabad,63.27,112.818,13.23,8.82,8.68,282,2016
Ahmedabad,40.43,63.532,10.29,7.42,5,189,2016
Ahmedabad,31.15,335.634,9.94,8.91,12.97,204,2016
Ahmedabad,33.76,287.336,12.22,9.15,8.36,207,2016
Ahmedabad,35.95,309.926,9.75,10.05,8.61,218,2016
Ahmedabad,58.07,287.408,8.67,10.51,19.87,243,2016
Ahmedabad,46.04,346.674,8.75,9.72,10.35,219,2016
Ahmedabad,52.27,330.132,9.23,10.79,9.14,247,2016
Ahmedabad,46.68,370.932,9.3,10.08,15.97,235,2016
Ahmedabad,44.59,346.674,7.39,10.47,11.2,234,2016
Ahmedabad,30.81,412.536,7.86,9.36,15.72,217,2016
Ahmedabad,47.67,307.34,8.39,9.63,18.89,222,2016
Ahmedabad,35.69,436.482,8.14,9.38,14.63,241,2016
Ahmedabad,36.44,436.482,7.07,9.59,14.99,225,2016
Ahmedabad,33.83,436.482,7.82,10.14,13.9,241,2016
Ahmedabad,34.23,436.482,7.14,10.17,13.79,237,2016
Ahmedabad,52.15,367.26,7.15,10.7,14.67,251,2016
Ahmedabad,35.99,398.964,8.65,9.91,18.16,220,2016
Ahmedabad,37.93,352.33,9.2,9.75,15.42,221,2016
Ahmedabad,31.94,436.482,7.84,9.5,14.27,226,2016
Ahmedabad,18.04,219.574,7.02,7.3,19,208,2016
Ahmedabad,27.9,374.21,9.55,9.52,21.74,190,2016
Ahmedabad,36.51,219.518,10.68,10.07,22.56,250,2016
Ahmedabad,55.71,85.118,12.86,11.17,21.14,280,2016
Ahmedabad,57.01,138.036,11.99,13.68,20.81,306,2016
Ahmedabad,53.94,104.956,12.54,10.01,24.79,249,2016
Ahmedabad,49.34,147.032,8.67,9.75,26.39,213,2016
Ahmedabad,67.47661344,118.4544354,28.97839078,2.345266953,34.91288525,135,2016
Ahmedabad,39.43,157.796,10.1,12.67,11.63,268,2016
Ahmedabad,42.33,160.78,9.31,11.31,15.38,267,2016
Ahmedabad,26.75,411.146,6.77,9.8,17.5,216,2016
Ahmedabad,34.16,411.146,5.46,9.66,17.44,212,2016
Ahmedabad,30.07,337.634,5.73,9.82,17.65,214,2016
Ahmedabad,25.54,412.536,5.56,9.5,16.47,222,2016
Ahmedabad,38.47,411.146,5.7,10.63,17.34,216,2016
Ahmedabad,42.55,285.33,6.59,10.36,20.24,236,2016
Ahmedabad,38.1,397.078,7.04,10.2,16.83,225,2016
Ahmedabad,27.22,438.392,6.34,12.02,12.94,231,2016
Ahmedabad,41.81,216.456,9.77,10.75,22.44,298,2016
Ahmedabad,75.03,114.3,9.47,11.23,41.28,267,2016
Ahmedabad,67.47661344,118.4544354,28.97839078,2.345266953,34.91288525,236,2016
Ahmedabad,75.06,388.726,6.35,14.78,6,301,2016
Ahmedabad,85.36,358.188,7.59,14.48,20.62,311,2016
Ahmedabad,124.97,177.488,9.72,13.2,26.4,313,2016
Ahmedabad,86.63,358.188,6.39,11.74,20.38,267,2016
Ahmedabad,70.34,358.188,7.1,11.25,20.13,232,2016
Ahmedabad,50.49,305.314,5.04,10.91,22.39,229,2016
Ahmedabad,42.25,218.448,6.55,11.07,24.3,227,2016
Ahmedabad,48.23,344.868,9.01,11.09,18.52,236,2016
Ahmedabad,138.94,112.346,16.9,10.27,37.01,326,2016
Ahmedabad,155.68,167.114,19.69,16.66,33.7,395,2016
Ahmedabad,140.81,197.608,19.3,18.56,31.21,423,2016
Ahmedabad,87.09,163.534,13.98,10.15,29.43,315,2016
Ahmedabad,83.57,220.094,10.61,7.8,30.68,213,2016
Ahmedabad,75.41,93.24,11.07,12.23,37.64,263,2016
Ahmedabad,106.86,30.364,10.22,9.38,36.65,355,2016
Ahmedabad,96.53,106.734,10.8,9.03,33.14,362,2016
Ahmedabad,76.96,151.61,9.04,6.95,41.7,236,2016
Ahmedabad,73.05,114.3,8.37,7.04,40.57,192,2016
Ahmedabad,72.52,256.342,9.14,7.31,32.65,230,2016
Ahmedabad,109.22,43.986,13.21,11.05,33.06,278,2016
Ahmedabad,122.63,144.732,16.36,18.84,31.59,390,2016
Ahmedabad,381.69,67.914,25.41,29.49,15.74,472,2016
Ahmedabad,182.59,36.106,18.2,26.06,41,457,2016
Ahmedabad,230.76,358.162,13.35,12.95,50.18,420,2016
Ahmedabad,203.3,45.42,14.79,11.74,47.43,417,2016
Ahmedabad,152.03,311.136,12.7,10.97,56.43,390,2016
Ahmedabad,176.02,42.19,12.78,7.51,35,361,2016
Ahmedabad,61.72,151.38,26.462,0.498,9.73,105,2017
Ahmedabad,126.57,199.286,9.942,0.198,27.85,319,2017
Ahmedabad,59.26,106.444,15.94,1.122,26.22,146,2017
Ahmedabad,51.72,146.772,34.482,24.722,24.71,80,2017
Ahmedabad,67.4,122.298,9.168,0.276,19.89,102,2017
Ahmedabad,79.49,31.086,28.34,175.81,18.21,459,2017
Ahmedabad,119.02,263.91,82.3,17.91,77.28,498,2017
Ahmedabad,85.32,156.664,31.48,5.06,28.71,195,2017
Ahmedabad,143.07,218.82,73.39,5.85,42.6,291,2017
Ahmedabad,140.88,275.094,76.05,6.11,26.06,313,2017
Ahmedabad,99.77,200.346,73.33,10.23,37.6,333,2017
Ahmedabad,119.99,219.662,73.41,6.84,48.09,338,2017
Ahmedabad,111.92,216.31,81.11,15.17,62.34,371,2017
Ahmedabad,96.51,253.554,84.06,15.07,74.34,463,2017
Ahmedabad,80.52,160.05,88.07,24,55.49,419,2017
Ahmedabad,80.89,219.052,71.52,6.14,78.13,330,2017
Ahmedabad,58.62,120.048,61.64,5.49,86.71,205,2017
Ahmedabad,68.53,148.824,61.38,5.78,88.35,164,2017
Ahmedabad,81.38,163.996,55.07,5.9,39.29,187,2017
Ahmedabad,56.54,145.41,32.13,5.46,66.39,149,2017
Ahmedabad,74.08,198.256,57.73,7.19,40.27,215,2017
Ahmedabad,62.76,148.376,62.02,5.58,83.18,284,2017
Ahmedabad,86.09,182.758,72.14,5.9,59.39,167,2017
Ahmedabad,59.74,139.886,77.12,26.28,42.01,337,2017
Ahmedabad,52.15,134.894,65.44,15.98,58.81,295,2017
Ahmedabad,70.08,134.796,81.65,11.42,61.73,400,2017
Ahmedabad,86.9,152.908,76.2,7.54,72.02,250,2017
Ahmedabad,77.34,211.92,61.41,6.33,75.64,232,2017
Ahmedabad,65.93,146.55,45.55,5.7,105.69,174,2017
Ahmedabad,66.58,159.428,62.16,7.16,66.87,198,2017
Ahmedabad,62.24,133.662,88.65,17.88,48.64,340,2017
Ahmedabad,62.07,103.422,72.18,8.72,56.86,355,2017
Ahmedabad,72.04,221.604,73.92,7.78,73.53,246,2017
Ahmedabad,67.44,154.05,62.74,5.95,93.19,216,2017
Ahmedabad,77.76,184.906,78.94,25.81,79.46,306,2017
Ahmedabad,71.54,168.742,89.06,26.95,65.58,404,2017
Ahmedabad,82.03,182.844,92.12,14.9,65.25,474,2017
Ahmedabad,84.43,162.818,74.68,6.85,90.79,343,2017
Ahmedabad,84.46,158.088,87.62,7.58,69.02,278,2018
Ahmedabad,76.51,180.842,76.69,9.26,93.51,256,2018
Ahmedabad,63.88,139.992,69.32,13.87,105.33,300,2018
Ahmedabad,66.89,181.842,92.57,5.86,68.56,216,2018
Ahmedabad,74.57,134.418,133.53,16.31,55.23,316,2018
Ahmedabad,82.53,178.132,150.48,20.58,43.23,421,2018
Ahmedabad,89.63,173.91,141.29,9.92,70.9,384,2018
Ahmedabad,55.27,150.468,86.96,29.44,47.71,332,2018
Ahmedabad,89.53,114.154,122.51,35.38,83.69,430,2018
Ahmedabad,88.37,172.352,155.73,15.14,44.14,433,2018
Ahmedabad,84.48,146.542,99.65,20.33,29.52,471,2018
Ahmedabad,89.41,157.466,130.93,28.93,34.08,488,2018
Ahmedabad,64.61,134.472,117.16,10.31,51.44,471,2018
Ahmedabad,65.35,150.03,104.31,6.17,64.67,172,2018
Ahmedabad,52.18,136.334,106.89,32.36,62.74,390,2018
Ahmedabad,49.18,103.378,135.69,30.05,40.63,460,2018
Ahmedabad,54.45,223.036,116.22,8.51,9.36,291,2018
Ahmedabad,53.5,188.402,105.31,4.52,40.83,132,2018
Ahmedabad,41.64,127.558,104.44,13.79,63.12,212,2018
Ahmedabad,98.49,193.426,87.62,17.14,44.092,301,2018
Ahmedabad,102.05,208.124,81.15,15.35,47.29,414,2018
Ahmedabad,100.33,200.512,92.44,9.58,60.16,484,2018
Ahmedabad,139.21,211.204,148.06,61.15,63.73,308,2018
Ahmedabad,75.68,198.908,70.57,10.93,68.45,498,2018
Ahmedabad,62.83,157.376,68.69,21.11,71.3,265,2018
Ahmedabad,90.13,201.636,81.38,15.24,73.07,304,2018
Ahmedabad,94.55,202.836,58.27,20.11,57.33,403,2018
Ahmedabad,92.5,113.936,61.82,18.14,22.98,392,2018
Ahmedabad,86.29,177.254,60.84,16.35,31.03,414,2018
Ahmedabad,104.21,220.018,72.51,22.52,39.14,442,2018
Ahmedabad,88.5,142.08,60.36,26.61,32.95,438,2018
Ahmedabad,71.3,151.34,35.8,7.93,34.83,274,2018
Ahmedabad,37.9,121.984,31.24,4.96,34.76,210,2018
Ahmedabad,78.18,132.77,71.56,20.3,10.44,478,2018
Ahmedabad,56.35,123.194,86.03,25.34,77.4,465,2018
Ahmedabad,39.97,101.066,32.39,7.15,36.08,219,2018
Ahmedabad,53.61,22.672,37.01,16.93,16.92,328,2018
Ahmedabad,63.06,116.87,28.22,13.88,25.88,351,2018
Ahmedabad,46.17,115.032,30.48,10.7,27.9,286,2018
Ahmedabad,61.24,92.268,35.33,14.21,9.69,337,2018
Ahmedabad,41.81,99.054,27.69,8.66,48.884,249,2018
Ahmedabad,55.09,48.246,33.93,15.63,15.242,376,2018
Ahmedabad,65.54,86.074,36.07,13.95,18.32,415,2018
Ahmedabad,41.04,99.114,28.36,7.56,48.668,228,2018
Ahmedabad,49.71,101.104,28.6,9.59,34.54,266,2018
Ahmedabad,44.75,102.682,28.9,10.25,28.02,257,2018
Ahmedabad,45.84,129.722,29.72,26.72,35.85,409,2018
Ahmedabad,44.79,97.942,32.12,7.28,37.9,222,2018
Ahmedabad,50.16,107.828,28.17,13.86,28.52,332,2018
Ahmedabad,49.07,126.748,30.74,8.51,27.48,272,2018
